"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"CH","2017-05-21","83.9","2.1379","5.3058","Chris Iannetta",595978,519008,"strikeout","swinging_strike",,,,,"14","Austin Hedges strikes out swinging.  ","R","R","L","SD","ARI","S","null","null",1,2,2017,"-0.7221","-0.3383","1.6712","1.3427","572114.00","null","592669.00",2,8,"Bot","null","null",,,455104,,"170521_225111",,,,,,,"3.5832","1.7550","null","null","null","83.1510","1674","5.8180",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.6807","0.000","0.000","0.00",1,0,0
"CH","2017-05-21","85.2","2.0438","5.3375","Chris Iannetta",595978,519008,"null","swinging_strike",,,,,"14","null","R","R","L","SD","ARI","S","null","null",1,1,2017,"-0.9007","-0.3815","1.3717","1.2256","572114.00","null","592669.00",2,8,"Bot","null","null",,,455104,,"170521_225052",,,,,,,"3.5832","1.7159","null","null","null","84.2600","1679","5.7970",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.7015","0.000","0.000","null","null","null","null"
"SI","2017-05-21","90.8","2.1835","5.4329","Chris Iannetta",595978,519008,"null","foul",,,,,"14","null","R","R","L","SD","ARI","S","null","null",1,0,2017,"-1.0516","0.0318","1.0999","2.6981","572114.00","null","592669.00",2,8,"Bot","null","null",,,455104,,"170521_225028",,,,,,,"3.5988","1.8098","null","null","null","90.0390","2128","5.7500",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.7490","0.000","0.000","null","null","null","null"
"SI","2017-05-21","92.3","2.3340","5.5992","Chris Iannetta",595978,519008,"null","ball",,,,,"14","null","R","R","L","SD","ARI","B","null","null",0,0,2017,"-0.9729","0.5927","1.8415","2.0892","572114.00","null","592669.00",2,8,"Bot","null","null",,,455104,,"170521_225008",,,,,,,"3.6145","1.8176","null","null","null","91.0530","2075","5.7440",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.7544","0.000","0.000","null","null","null","null"
"SI","2017-05-21","92.3","2.0469","5.6998","Chris Iannetta",605486,519008,"sac_fly","hit_into_play_score",,,,,"2","Cory Spangenberg out on a sacrifice fly to center fielder Gregor Blanco.   Wil Myers scores.    Ryan Schimpf to 3rd.  ","R","L","L","SD","ARI","X","8","line_drive",3,2,2017,"-0.7577","0.7468","0.0777","3.0844","571976.00","572114.00","592669.00",1,8,"Bot","89.47","59.48",,,455104,,"170521_224927",,,,,,,"3.3706","1.5111","342","92.1","24.8840","90.9540","1973","5.3700",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"55.1281","0.177","0.239","0.00",1,0,0
"SI","2017-05-21","92.0","2.0585","5.2428","Chris Iannetta",605486,519008,"null","foul",,,,,"4","null","R","L","L","SD","ARI","S","null","null",3,2,2017,"-0.9366","-0.0892","-0.4788","2.2725","571976.00","572114.00","592669.00",1,8,"Bot","null","null",,,455104,,"170521_224849",,,,,,,"3.3997","1.5872","null","null","null","91.2540","2068","5.7760",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.7223","0.000","0.000","null","null","null","null"
"SI","2017-05-21","92.6","2.1453","5.4238","Chris Iannetta",605486,519008,"null","foul",,,,,"3","null","R","L","L","SD","ARI","S","null","null",3,1,2017,"-1.1392","0.2830","0.8007","2.9975","571976.00","572114.00","592669.00",1,8,"Bot","null","null",,,455104,,"170521_224819",,,,,,,"3.4466","1.6811","null","null","null","91.4980","2093","5.6810",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.8178","0.000","0.000","null","null","null","null"
"SI","2017-05-21","93.1","2.1101","5.3458","Chris Iannetta",605486,519008,"null","ball",,,,,"13","null","R","L","L","SD","ARI","B","null","null",2,1,2017,"-0.9661","0.3398","-0.9701","1.8166","571976.00","572114.00","592669.00",1,8,"Bot","null","null",,,455104,,"170521_224756",,,,,,,"3.4197","1.6755","null","null","null","92.5670","2041","5.9160",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.5823","0.000","0.000","null","null","null","null"
"SI","2017-05-21","92.6","2.1273","5.7098","Chris Iannetta",605486,519008,"null","foul",,,,,"9","null","R","L","L","SD","ARI","S","null","null",2,0,2017,"-0.8455","0.9418","0.3421","2.1644","571976.00","572114.00","592669.00",1,8,"Bot","null","null",,,455104,,"170521_224720",,,,,,,"3.3606","1.6420","null","null","null","91.0620","2104","5.6350",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.8632","0.000","0.000","null","null","null","null"
"SI","2017-05-21","89.7","2.0414","5.3138","Chris Iannetta",605486,519008,"null","ball",,,,,"13","null","R","L","L","SD","ARI","B","null","null",1,0,2017,"-1.0096","0.2184","-0.8859","1.9618","571976.00","572114.00","592669.00",1,8,"Bot","null","null",,,455104,,"170521_224658",,,,,,,"3.2945","1.5033","null","null","null","88.5820","1996","5.6560",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.8426","0.000","0.000","null","null","null","null"
